"CurrentName","DNVoucher","Provenance","RowNum","YearPlanted","TreeNum","RowTree","FieldID"
"Eucalyptus drepanophylla","DN 2532","Lolworth Range, Qld",168,1999,10,"R168/T10","CCA3376"
"Corymbia aureola","DN 2542","Cherwell Range, Qld",168,1999,11,"R168/T11","CCA3377"
"Corymbia aureola","DN 2542","Cherwell Range, Qld",168,1999,12,"R168/T12","CCA3378"
"Eucalyptus longicornis","DN 2241","Wagin, WA",168,1999,14,"R168/T14","CCA3379"
"Eucalyptus longicornis","DN 2241","Wagin, WA",168,1999,15,"R168/T15","CCA3380"
"Eucalyptus longicornis","DN 2241","Wagin, WA",168,1999,16,"R168/T16","CCA3381"
"Eucalyptus longicornis","DN 2241","Wagin, WA",168,1999,17,"R168/T17","CCA3382"
"Eucalyptus falciformis","DN 361","Victoria Valley, Vic",168,1999,19,"R168/T19","CCA3383"
"Eucalyptus falciformis","DN 361","Victoria Valley, Vic",168,1999,20,"R168/T20","CCA3384"
"Eucalyptus falciformis","DN 361","Victoria Valley, Vic",168,1999,21,"R168/T21","CCA3385"
"Corymbia brachycarpa","DN 2534","Torrens Creek, Qld",168,1999,24,"R168/T24","CCA3386"
"Corymbia peltata","DN 2505","Newcastle Range, Qld",168,1999,27,"R168/T27","CCA3387"
"Corymbia peltata","DN 2505","Newcastle Range, Qld",168,1999,28,"R168/T28","CCA3388"
"Corymbia peltata","DN 2505","Newcastle Range, Qld",168,1999,30,"R168/T30","CCA3389"
"Eucalyptus distans","DN 2500","Croydon, Qld",169,1999,4,"R169/T04","CCA3390"
"Eucalyptus distans","DN 2500","Croydon, Qld",169,1999,6,"R169/T06","CCA3391"
"Corymbia dimorpha","DN 2528","Laroona, Qld",169,1999,8,"R169/T08","CCA3392"
"Corymbia dimorpha","DN 2528","Laroona, Qld",169,1999,9,"R169/T09","CCA3393"
"Corymbia dimorpha","DN 2528","Laroona, Qld",169,1999,10,"R169/T10","CCA3394"
"Corymbia dimorpha","DN 2528","Laroona, Qld",169,1999,11,"R169/T11","CCA3395"
"Eucalyptus howittiana","DN 2526","Valley of Lagoons, Qld",169,1999,12,"R169/T12","CCA3396"
"Eucalyptus howittiana","DN 2526","Valley of Lagoons, Qld",169,1999,13,"R169/T13","CCA3397"
"Eucalyptus howittiana","DN 2526","Valley of Lagoons, Qld",169,1999,14,"R169/T14","CCA3398"
"Eucalyptus howittiana","DN 2526","Valley of Lagoons, Qld",169,1999,15,"R169/T15","CCA3399"
"Eucalyptus nobilis","DN 753","Liverpool Range, NSW",169,1999,19,"R169/T19","CCA3400"
